p,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,pcandidates
0.62,0.5000243539662751,2.4353966275092453e-05,2000000,3,5,156,0.5000243539662751,2.4353966275092453e-05,2000000,3,5,156,[0.120000 1表 1裏 1目 1～1局] [-0.115600 1表 2裏 2目 1～2局] [0.010022 1表 2裏 3目 2～4局] [-0.004281 2表 3裏 15目 5～12局] [0.000097 3表 5裏 61目 13～33局] [0.000024 3表 5裏 156目 32～83局]
0.63,0.5004982952846722,0.0004982952846721,2000000,3,5,79,0.5004982952846722,0.0004982952846721,2000000,15,136,316,[0.130000 1表 1裏 1目 1～1局] [-0.103100 1表 2裏 2目 1～2局] [0.027599 1表 2裏 3目 2～4局] [-0.013359 1表 2裏 5目 3～7局] [-0.001073 3表 5裏 28目 6～15局] [0.000498 3表 5裏 79目 16～42局]
0.64,0.4988934144725667,-0.0011065855274333,2000000,4,7,245,0.4988934144725667,-0.0011065855274333,2000000,86,135,316,[0.140000 1表 1裏 1目 1～1局] [-0.090400 1表 2裏 2目 1～2局] [0.045260 1表 2裏 3目 2～4局] [0.009383 1表 2裏 5目 3～7局] [-0.002182 3表 5裏 40目 8～21局] [-0.001560 4表 7裏 117目 17～46局] [-0.001277 4表 7裏 181目 26～71局] [-0.001107 4表 7裏 245目 35～96局]
0.65,0.5000625104647389,6.251046473892963e-05,2000000,5,9,171,0.5000625104647389,6.251046473892963e-05,2000000,5,9,171,[0.150000 1表 1裏 1目 1～1局] [-0.077500 1表 2裏 2目 1～2局] [0.062981 1表 2裏 3目 2～4局] [0.032283 1表 2裏 5目 3～7局] [0.013827 1表 2裏 7目 4～10局] [0.000503 1表 2裏 9目 5～13局] [0.000127 5表 9裏 106目 12～33局] [0.000063 5表 9裏 171目 19～53局]
0.66,0.4991710436276079,-0.000828956372392,2000000,1,2,23,0.4991710436276079,-0.000828956372392,2000000,86,134,316,[0.160000 1表 1裏 1目 1～1局] [-0.064400 1表 2裏 2目 1～2局] [-0.052196 1表 2裏 4目 2～5局] [-0.048081 1表 2裏 6目 3～8局] [0.041061 1表 2裏 7目 4～10局] [0.031382 1表 2裏 9目 5～13局] [0.024088 1表 2裏 11目 6～16局] [0.018242 1表 2裏 13目 7～19局] [0.013359 1表 2裏 15目 8～22局] [0.009158 1表 2裏 17目 9～25局] [0.005465 1表 2裏 19目 10～28局] [0.002163 1表 2裏 21目 11～31局] [-0.000829 1表 2裏 23目 12～34局]
0.67,0.4996577100431639,-0.0003422899568361,2000000,1,2,22,0.4996577100431639,-0.0003422899568361,2000000,81,134,316,[0.170000 1表 1裏 1目 1～1局] [-0.051100 1表 2裏 2目 1～2局] [-0.032494 1表 2裏 4目 2～5局] [-0.023565 1表 2裏 6目 3～8局] [-0.017882 1表 2裏 8目 4～11局] [-0.013758 1表 2裏 10目 5～14局] [-0.010531 1表 2裏 12目 6～17局] [-0.007878 1表 2裏 14目 7～20局] [-0.005624 1表 2裏 16目 8～23局] [-0.003659 1表 2裏 18目 9～26局] [-0.001914 1表 2裏 20目 10～29局] [-0.000342 1表 2裏 22目 11～32局]
0.68,0.5000697854337149,6.978543371494172e-05,2000000,5,11,199,0.5000697854337149,6.978543371494172e-05,2000000,5,11,199,[0.180000 1表 1裏 1目 1～1局] [-0.037600 1表 2裏 2目 1～2局] [-0.012505 1表 2裏 4目 2～5局] [0.001298 1表 2裏 6目 3～8局] [0.000162 4表 9裏 91目 11～33局] [0.000070 5表 11裏 199目 19～58局]
0.69,0.5003798972020231,0.0003798972020231,2000000,4,9,209,0.5003798972020231,0.0003798972020231,2000000,21,135,316,[0.190000 1表 1裏 1目 1～1局] [-0.023900 1表 2裏 2目 1～2局] [0.007744 1表 2裏 4目 2～5局] [-0.002945 2表 5裏 26目 6～18局] [-0.000734 3表 7裏 99目 15～47局] [0.000380 4表 9裏 209目 24～76局]
0.7,0.4975870724981724,-0.0024129275018275,2000000,3,7,298,0.4975870724981724,-0.0024129275018275,2000000,101,133,316,[0.200000 1表 1裏 1目 1～1局] [-0.010000 1表 2裏 2目 1～2局] [-0.007484 2表 5裏 17目 4～12局] [-0.005824 2表 5裏 31目 7～22局] [-0.004922 2表 5裏 46目 10～32局] [-0.004340 3表 7裏 88目 13～42局] [-0.003924 3表 7裏 109目 16～52局] [-0.003608 3表 7裏 130目 19～62局] [-0.003358 3表 7裏 151目 22～72局] [-0.003154 3表 7裏 172目 25～82局] [-0.002983 3表 7裏 193目 28～92局] [-0.002837 3表 7裏 214目 31～102局] [-0.002710 3表 7裏 235目 34～112局] [-0.002599 3表 7裏 256目 37～122局] [-0.002501 3表 7裏 277目 40～132局] [-0.002413 3表 7裏 298目 43～142局]
0.71,0.5002041517924759,0.0002041517924759,2000000,2,5,47,0.5002041517924759,0.0002041517924759,2000000,44,135,316,[0.210000 1表 1裏 1目 1～1局] [0.004100 1表 2裏 2目 1～2局] [0.000204 2表 5裏 47目 10～33局]
0.72,0.5014111096795151,0.001411109679515,2000000,5,13,276,0.5014111096795151,0.001411109679515,2000000,92,134,316,[0.220000 1表 1裏 1目 1～1局] [0.018400 1表 2裏 2目 1～2局] [0.017098 1表 3裏 7目 3～9局] [-0.015485 1表 3裏 10目 4～13局] [-0.004819 2表 5裏 29目 6～20局] [0.002571 2表 5裏 39目 8～27局] [0.001753 2表 5裏 75目 15～52局] [0.001411 5表 13裏 276目 22～77局]
0.73,0.4997068951153219,-0.000293104884678,2000000,3,8,118,0.4997068951153219,-0.000293104884678,2000000,133,134,316,[0.230000 1表 1裏 1目 1～1局] [0.032900 1表 2裏 2目 1～2局] [-0.012828 1表 3裏 5目 2～6局] [-0.002259 1表 3裏 13目 5～17局] [-0.000293 3表 8裏 118目 15～54局]
0.74,0.500064763710107,6.476371010699644e-05,2000000,5,14,306,0.500064763710107,6.476371010699644e-05,2000000,5,14,306,[0.240000 1表 1裏 1目 1～1局] [0.047600 1表 2裏 2目 1～2局] [0.010372 1表 3裏 5目 2～6局] [-0.004220 1表 3裏 8目 3～10局] [0.000257 1表 3裏 25目 9～33局] [0.000065 5表 14裏 306目 22～83局]
0.75,0.5037606559764926,0.0037606559764925,2000000,1,3,314,0.5037606559764926,0.0037606559764925,2000000,30,122,316,[0.250000 1表 1裏 1目 1～1局] [0.062500 1表 2裏 2目 1～2局] [0.033936 1表 3裏 5目 2～6局] [0.025593 1表 3裏 8目 3～10局] [0.021340 1表 3裏 11目 4～14局] [0.018669 1表 3裏 14目 5～18局] [0.016797 1表 3裏 17目 6～22局] [0.015393 1表 3裏 20目 7～26局] [0.014290 1表 3裏 23目 8～30局] [0.013394 1表 3裏 26目 9～34局] [0.012647 1表 3裏 29目 10～38局] [0.012013 1表 3裏 32目 11～42局] [0.011465 1表 3裏 35目 12～46局] [0.010986 1表 3裏 38目 13～50局] [0.010562 1表 3裏 41目 14～54局] [0.010184 1表 3裏 44目 15～58局] [0.009844 1表 3裏 47目 16～62局] [0.009536 1表 3裏 50目 17～66局] [0.009254 1表 3裏 53目 18～70局] [0.008997 1表 3裏 56目 19～74局] [0.008760 1表 3裏 59目 20～78局] [0.008540 1表 3裏 62目 21～82局] [0.008336 1表 3裏 65目 22～86局] [0.008147 1表 3裏 68目 23～90局] [0.007969 1表 3裏 71目 24～94局] [0.007803 1表 3裏 74目 25～98局] [0.007646 1表 3裏 77目 26～102局] [0.007499 1表 3裏 80目 27～106局] [0.007360 1表 3裏 83目 28～110局] [0.007228 1表 3裏 86目 29～114局] [0.007104 1表 3裏 89目 30～118局] [0.006985 1表 3裏 92目 31～122局] [0.006872 1表 3裏 95目 32～126局] [0.006765 1表 3裏 98目 33～130局] [0.006662 1表 3裏 101目 34～134局] [0.006564 1表 3裏 104目 35～138局] [0.006470 1表 3裏 107目 36～142局] [0.006380 1表 3裏 110目 37～146局] [0.006294 1表 3裏 113目 38～150局] [0.006211 1表 3裏 116目 39～154局] [0.006131 1表 3裏 119目 40～158局] [0.006054 1表 3裏 122目 41～162局] [0.005981 1表 3裏 125目 42～166局] [0.005909 1表 3裏 128目 43～170局] [0.005840 1表 3裏 131目 44～174局] [0.005774 1表 3裏 134目 45～178局] [0.005710 1表 3裏 137目 46～182局] [0.005648 1表 3裏 140目 47～186局] [0.005588 1表 3裏 143目 48～190局] [0.005529 1表 3裏 146目 49～194局] [0.005473 1表 3裏 149目 50～198局] [0.005418 1表 3裏 152目 51～202局] [0.005365 1表 3裏 155目 52～206局] [0.005313 1表 3裏 158目 53～210局] [0.005263 1表 3裏 161目 54～214局] [0.005214 1表 3裏 164目 55～218局] [0.005167 1表 3裏 167目 56～222局] [0.005121 1表 3裏 170目 57～226局] [0.005076 1表 3裏 173目 58～230局] [0.005032 1表 3裏 176目 59～234局] [0.004989 1表 3裏 179目 60～238局] [0.004948 1表 3裏 182目 61～242局] [0.004907 1表 3裏 185目 62～246局] [0.004867 1表 3裏 188目 63～250局] [0.004829 1表 3裏 191目 64～254局] [0.004791 1表 3裏 194目 65～258局] [0.004754 1表 3裏 197目 66～262局] [0.004718 1表 3裏 200目 67～266局] [0.004683 1表 3裏 203目 68～270局] [0.004648 1表 3裏 206目 69～274局] [0.004615 1表 3裏 209目 70～278局] [0.004582 1表 3裏 212目 71～282局] [0.004549 1表 3裏 215目 72～286局] [0.004518 1表 3裏 218目 73～290局] [0.004487 1表 3裏 221目 74～294局] [0.004456 1表 3裏 224目 75～298局] [0.004427 1表 3裏 227目 76～302局] [0.004398 1表 3裏 230目 77～306局] [0.004369 1表 3裏 233目 78～310局] [0.004341 1表 3裏 236目 79～314局] [0.004314 1表 3裏 239目 80～318局] [0.004287 1表 3裏 242目 81～322局] [0.004260 1表 3裏 245目 82～326局] [0.004234 1表 3裏 248目 83～330局] [0.004209 1表 3裏 251目 84～334局] [0.004184 1表 3裏 254目 85～338局] [0.004159 1表 3裏 257目 86～342局] [0.004135 1表 3裏 260目 87～346局] [0.004111 1表 3裏 263目 88～350局] [0.004088 1表 3裏 266目 89～354局] [0.004065 1表 3裏 269目 90～358局] [0.004042 1表 3裏 272目 91～362局] [0.004020 1表 3裏 275目 92～366局] [0.003998 1表 3裏 278目 93～370局] [0.003976 1表 3裏 281目 94～374局] [0.003955 1表 3裏 284目 95～378局] [0.003934 1表 3裏 287目 96～382局] [0.003914 1表 3裏 290目 97～386局] [0.003894 1表 3裏 293目 98～390局] [0.003874 1表 3裏 296目 99～394局] [0.003854 1表 3裏 299目 100～398局] [0.003835 1表 3裏 302目 101～402局] [0.003816 1表 3裏 305目 102～406局] [0.003797 1表 3裏 308目 103～410局] [0.003779 1表 3裏 311目 104～414局] [0.003761 1表 3裏 314目 105～418局]
0.76,0.498754772292707,-0.001245227707293,2000000,4,13,274,0.498754772292707,-0.001245227707293,2000000,84,133,316,[0.260000 1表 1裏 1目 1～1局] [0.077600 1表 2裏 2目 1～2局] [-0.061024 1表 3裏 3目 1～3局] [0.057816 1表 3裏 5目 2～6局] [-0.029812 1表 3裏 6目 2～7局] [-0.013435 1表 3裏 9目 3～11局] [-0.002238 1表 3裏 12目 4～15局] [-0.001742 3表 10裏 91目 10～40局] [-0.001435 4表 13裏 197目 16～65局] [-0.001245 4表 13裏 274目 22～90局]
0.77,0.5000404481947097,4.0448194709719054e-05,2000000,3,10,307,0.5000404481947097,4.0448194709719054e-05,2000000,3,10,307,[0.270000 1表 1裏 1目 1～1局] [0.092900 1表 2裏 2目 1～2局] [-0.043467 1表 3裏 3目 1～3局] [-0.003955 1表 3裏 6目 2～7局] [-0.001431 2表 7裏 31目 5～20局] [0.000325 2表 7裏 51目 8～33局] [0.000040 3表 10裏 307目 31～133局]
0.78,0.4994824329307584,-0.0005175670692416,2000000,2,7,203,0.4994824329307584,-0.0005175670692416,2000000,86,133,316,[0.280000 1表 1裏 1目 1～1局] [0.108400 1表 2裏 2目 1～2局] [-0.025448 1表 3裏 3目 1～3局] [0.022463 1表 3裏 6目 2～7局] [-0.011357 1表 4裏 10目 3～12局] [-0.004904 1表 4裏 17目 5～21局] [-0.000764 2表 7裏 47目 7～30局] [-0.000624 2表 7裏 125目 18～80局] [-0.000518 2表 7裏 203目 29～130局]
0.79,0.4997357145319491,-0.0002642854680508,2000000,3,11,142,0.4997357145319491,-0.0002642854680508,2000000,17,134,316,[0.290000 1表 1裏 1目 1～1局] [0.124100 1表 2裏 2目 1～2局] [-0.006961 1表 3裏 3目 1～3局] [-0.004165 1表 4裏 18目 5～22局] [-0.001761 1表 4裏 33目 9～41局] [-0.000264 3表 11裏 142目 13～60局]
0.8,0.5000887566406623,8.875664066232414e-05,2000000,1,4,75,0.5000887566406623,8.875664066232414e-05,2000000,1,4,75,[0.300000 1表 1裏 1目 1～1局] [0.140000 1表 2裏 2目 1～2局] [0.012000 1表 3裏 3目 1～3局] [0.003316 1表 4裏 7目 2～8局] [0.001652 1表 4裏 11目 3～13局] [0.001025 1表 4裏 15目 4～18局] [0.000714 1表 4裏 19目 5～23局] [0.000533 1表 4裏 23目 6～28局] [0.000417 1表 4裏 27目 7～33局] [0.000338 1表 4裏 31目 8～38局] [0.000281 1表 4裏 35目 9～43局] [0.000239 1表 4裏 39目 10～48局] [0.000206 1表 4裏 43目 11～53局] [0.000180 1表 4裏 47目 12～58局] [0.000159 1表 4裏 51目 13～63局] [0.000142 1表 4裏 55目 14～68局] [0.000128 1表 4裏 59目 15～73局] [0.000115 1表 4裏 63目 16～78局] [0.000105 1表 4裏 67目 17～83局] [0.000096 1表 4裏 71目 18～88局] [0.000089 1表 4裏 75目 19～93局]
0.81,0.4994823277397315,-0.0005176722602684,2000000,1,4,16,0.4994823277397315,-0.0005176722602684,2000000,89,133,316,[0.310000 1表 1裏 1目 1～1局] [0.156100 1表 2裏 2目 1～2局] [0.031441 1表 3裏 3目 1～3局] [-0.013760 1表 4裏 12目 3～14局] [-0.000518 1表 4裏 16目 4～19局]
0.82,0.5005739420743385,0.0005739420743384,2000000,2,9,279,0.5005739420743385,0.0005739420743384,2000000,60,133,316,[0.320000 1表 1裏 1目 1～1局] [0.172400 1表 2裏 2目 1～2局] [0.051368 1表 3裏 3目 1～3局] [-0.047878 1表 4裏 4目 1～4局] [-0.001230 1表 4裏 8目 2～9局] [0.000990 2表 9裏 115目 13～70局] [0.000704 2表 9裏 197目 22～120局] [0.000574 2表 9裏 279目 31～170局]
0.83,0.5000684047916565,6.84047916564845e-05,2000000,1,5,111,0.5000684047916565,6.84047916564845e-05,2000000,1,5,111,[0.330000 1表 1裏 1目 1～1局] [0.188900 1表 2裏 2目 1～2局] [0.071787 1表 3裏 3目 1～3局] [-0.025417 1表 4裏 4目 1～4局] [0.018108 1表 5裏 13目 3～15局] [0.010316 1表 5裏 18目 4～21局] [0.004823 1表 5裏 23目 5～27局] [0.000550 1表 5裏 28目 6～33局] [0.000068 1表 5裏 111目 23～133局]
0.84,0.5014837875007024,0.0014837875007024,2000000,3,16,277,0.5014837875007024,0.0014837875007024,2000000,121,132,316,[0.340000 1表 1裏 1目 1～1局] [0.205600 1表 2裏 2目 1～2局] [0.092704 1表 3裏 3目 1～3局] [-0.002129 1表 4裏 4目 1～4局] [0.002122 2表 11裏 101目 10～60局] [0.001721 2表 11裏 144目 14～85局] [0.001484 3表 16裏 277目 18～110局]
0.85,0.5017654593095444,0.0017654593095444149,2000000,3,17,316,0.5017654593095444,0.0017654593095444149,2000000,49,132,316,[0.350000 1表 1裏 1目 1～1局] [0.222500 1表 2裏 2目 1～2局] [0.114125 1表 3裏 3目 1～3局] [0.022006 1表 4裏 4目 1～4局] [-0.007814 1表 5裏 10目 2～11局] [0.004879 1表 6裏 21目 4～24局] [0.003246 1表 6裏 38目 7～44局] [0.002578 1表 6裏 55目 10～64局] [0.002199 2表 11裏 143目 13～84局] [0.001947 3表 17裏 265目 16～104局] [0.001765 3表 17裏 316目 19～124局]
0.86,0.5001901199458543,0.0001901199458542,2000000,1,6,72,0.5001901199458543,0.0001901199458542,2000000,87,132,316,[0.360000 1表 1裏 1目 1～1局] [0.239600 1表 2裏 2目 1～2局] [0.136056 1表 3裏 3目 1～3局] [0.047008 1表 4裏 4目 1～4局] [-0.029573 1表 5裏 5目 1～5局] [-0.016589 1表 6裏 11目 2～12局] [-0.008852 1表 6裏 17目 3～19局] [-0.003437 1表 6裏 23目 4～26局] [0.000754 1表 6裏 29目 5～33局] [0.000190 1表 6裏 72目 12～83局]
0.87,0.4993353078034774,-0.0006646921965225,2000000,1,7,45,0.4993353078034774,-0.0006646921965225,2000000,104,132,316,[0.370000 1表 1裏 1目 1～1局] [0.256900 1表 2裏 2目 1～2局] [0.158503 1表 3裏 3目 1～3局] [0.072898 1表 4裏 4目 1～4局] [-0.001579 1表 5裏 5目 1～5局] [-0.000665 1表 7裏 45目 7～51局]
0.88,0.498832780676801,-0.001167219323199,2000000,2,15,303,0.498832780676801,-0.001167219323199,2000000,88,131,316,[0.380000 1表 1裏 1目 1～1局] [0.274400 1表 2裏 2目 1～2局] [0.181472 1表 3裏 3目 1～3局] [0.099695 1表 4裏 4目 1～4局] [0.027732 1表 5裏 5目 1～5局] [0.026238 1表 6裏 12目 2～13局] [-0.014136 1表 7裏 13目 2～14局] [-0.001737 1表 7裏 20目 3～22局] [-0.001630 2表 15裏 127目 9～72局] [-0.001471 2表 15裏 171目 12～97局] [-0.001347 2表 15裏 215目 15～122局] [-0.001248 2表 15裏 259目 18～147局] [-0.001167 2表 15裏 303目 21～172局]
0.89,0.5000591845065364,5.918450653641383e-05,2000000,1,8,208,0.5000591845065364,5.918450653641383e-05,2000000,1,8,208,[0.390000 1表 1裏 1目 1～1局] [0.292100 1表 2裏 2目 1～2局] [0.204969 1表 3裏 3目 1～3局] [0.127422 1表 4裏 4目 1～4局] [0.058406 1表 5裏 5目 1～5局] [-0.003019 1表 6裏 6目 1～6局] [-0.000837 1表 8裏 22目 3～24局] [0.000137 1表 8裏 119目 15～133局] [0.000059 1表 8裏 208目 26～233局]
0.9,0.5024213352236022,0.0024213352236022,2000000,1,9,312,0.5024213352236022,0.0024213352236022,2000000,28,128,316,[0.400000 1表 1裏 1目 1～1局] [0.310000 1表 2裏 2目 1～2局] [0.229000 1表 3裏 3目 1～3局] [0.156100 1表 4裏 4目 1～4局] [0.090490 1表 5裏 5目 1～5局] [0.031441 1表 6裏 6目 1～6局] [-0.021703 1表 7裏 7目 1～7局] [0.014728 1表 8裏 15目 2～16局] [0.010505 1表 8裏 24目 3～26局] [0.008511 1表 9裏 33目 4～36局] [0.007317 1表 9裏 42目 5～46局] [0.006507 1表 9裏 51目 6～56局] [0.005913 1表 9裏 60目 7～66局] [0.005455 1表 9裏 69目 8～76局] [0.005088 1表 9裏 78目 9～86局] [0.004785 1表 9裏 87目 10～96局] [0.004531 1表 9裏 96目 11～106局] [0.004312 1表 9裏 105目 12～116局] [0.004123 1表 9裏 114目 13～126局] [0.003956 1表 9裏 123目 14～136局] [0.003808 1表 9裏 132目 15～146局] [0.003675 1表 9裏 141目 16～156局] [0.003556 1表 9裏 150目 17～166局] [0.003447 1表 9裏 159目 18～176局] [0.003347 1表 9裏 168目 19～186局] [0.003256 1表 9裏 177目 20～196局] [0.003172 1表 9裏 186目 21～206局] [0.003094 1表 9裏 195目 22～216局] [0.003021 1表 9裏 204目 23～226局] [0.002953 1表 9裏 213目 24～236局] [0.002890 1表 9裏 222目 25～246局] [0.002831 1表 9裏 231目 26～256局] [0.002775 1表 9裏 240目 27～266局] [0.002722 1表 9裏 249目 28～276局] [0.002672 1表 9裏 258目 29～286局] [0.002625 1表 9裏 267目 30～296局] [0.002580 1表 9裏 276目 31～306局] [0.002537 1表 9裏 285目 32～316局] [0.002497 1表 9裏 294目 33～326局] [0.002458 1表 9裏 303目 34～336局] [0.002421 1表 9裏 312目 35～346局]
0.91,0.4998303688217843,-0.0001696311782157,2000000,1,10,88,0.4998303688217843,-0.0001696311782157,2000000,63,131,316,[0.410000 1表 1裏 1目 1～1局] [0.328100 1表 2裏 2目 1～2局] [0.253571 1表 3裏 3目 1～3局] [0.185750 1表 4裏 4目 1～4局] [0.124032 1表 5裏 5目 1～5局] [0.067869 1表 6裏 6目 1～6局] [0.016761 1表 7裏 7目 1～7局] [0.009125 1表 9裏 17目 2～18局] [0.008725 1表 9裏 27目 3～29局] [-0.007639 1表 10裏 48目 5～52局] [-0.005295 1表 10裏 58目 6～63局] [-0.003338 1表 10裏 68目 7～74局] [-0.001653 1表 10裏 78目 8～85局] [-0.000170 1表 10裏 88目 9～96局]
0.92,0.5001389662226435,0.0001389662226435,2000000,1,12,169,0.5001389662226435,0.0001389662226435,2000000,38,130,316,[0.420000 1表 1裏 1目 1～1局] [0.346400 1表 2裏 2目 1～2局] [0.278688 1表 3裏 3目 1～3局] [0.216393 1表 4裏 4目 1～4局] [0.159082 1表 5裏 5目 1～5局] [0.106355 1表 6裏 6目 1～6局] [0.057847 1表 7裏 7目 1～7局] [0.013219 1表 8裏 8目 1～8局] [-0.009397 1表 10裏 20目 2～21局] [0.001801 1表 11裏 31目 3～33局] [0.000778 1表 11裏 54目 5～58局] [0.000455 1表 11裏 77目 7～83局] [0.000307 1表 12裏 100目 9～108局] [0.000224 1表 12裏 123目 11～133局] [0.000173 1表 12裏 146目 13～158局] [0.000139 1表 12裏 169目 15～183局]
